Class,Method,SourceCodeLine
org.apache.hadoop.fs.viewfs.InodeTree,createLink,230
org.apache.hadoop.fs.viewfs.InodeTree,createLink,244
org.apache.hadoop.fs.viewfs.InodeTree,<init>,329
org.apache.hadoop.fs.viewfs.InodeTree,<init>,338
org.apache.hadoop.fs.viewfs.InodeTree,resolve,403
org.apache.hadoop.fs.viewfs.ViewFileSystem,getUriPath,130
org.apache.hadoop.fs.viewfs.ViewFileSystem,createNonRecursive,297
org.apache.hadoop.fs.viewfs.ViewFileSystem,create,312
org.apache.hadoop.fs.viewfs.ViewFileSystem,delete,326
org.apache.hadoop.fs.viewfs.ViewFileSystem,rename,426
org.apache.hadoop.fs.viewfs.ViewFileSystem,rename,432
org.apache.hadoop.fs.viewfs.ViewFileSystem,rename,451
org.apache.hadoop.fs.viewfs.ViewFileSystem$InternalDirOfViewFs,checkPathIsSlash,620
org.apache.hadoop.fs.viewfs.ViewFileSystem$InternalDirOfViewFs,mkdirs,729
org.apache.hadoop.fs.viewfs.ViewFileSystem$InternalDirOfViewFs,mkdirs,735
org.apache.hadoop.fs.DelegationTokenRenewer$RenewAction,renew,122
org.apache.hadoop.fs.DelegationTokenRenewer$RenewAction,renew,126
org.apache.hadoop.fs.DelegationTokenRenewer$RenewAction,renew,114
org.apache.hadoop.fs.RawLocalFileSystem,open,210
org.apache.hadoop.fs.RawLocalFileSystem,append,256
org.apache.hadoop.fs.RawLocalFileSystem,append,259
org.apache.hadoop.fs.RawLocalFileSystem,create,276
org.apache.hadoop.fs.RawLocalFileSystem,create,280
org.apache.hadoop.fs.RawLocalFileSystem,createNonRecursive,292
org.apache.hadoop.fs.RawLocalFileSystem,delete,342
org.apache.hadoop.fs.RawLocalFileSystem,listStatus,353
org.apache.hadoop.fs.RawLocalFileSystem,mkdirs,388
org.apache.hadoop.fs.RawLocalFileSystem,mkdirs,395
org.apache.hadoop.fs.RawLocalFileSystem,getFileStatus,492
org.apache.hadoop.fs.RawLocalFileSystem,setOwner,586
org.apache.hadoop.fs.FsShellPermissions$Chgrp,parseOwnerGroup,209
org.apache.hadoop.fs.FSInputStream,read,66
org.apache.hadoop.fs.FSInputStream,read,68
org.apache.hadoop.fs.FSInputStream,readFully,78
org.apache.hadoop.net.SocketIOWithTimeout,checkChannelValidity,92
org.apache.hadoop.net.SocketIOWithTimeout,checkChannelValidity,97
org.apache.hadoop.net.SocketIOWithTimeout,doIO,132
org.apache.hadoop.net.SocketIOWithTimeout,doIO,151
org.apache.hadoop.net.SocketIOWithTimeout,doIO,164
org.apache.hadoop.net.SocketIOWithTimeout,connect,214
org.apache.hadoop.net.SocketIOWithTimeout,connect,223
org.apache.hadoop.net.SocketIOWithTimeout,connect,228
org.apache.hadoop.net.SocketIOWithTimeout,waitForIO,246
org.apache.hadoop.net.NetworkTopology$InnerNode,getNextAncestorName,125
org.apache.hadoop.net.NetworkTopology$InnerNode,add,146
org.apache.hadoop.net.NetworkTopology$InnerNode,remove,194
org.apache.hadoop.net.NetworkTopology,add,343
org.apache.hadoop.net.NetworkTopology,add,350
org.apache.hadoop.net.NetworkTopology,add,365
org.apache.hadoop.net.NetworkTopology,add,377
org.apache.hadoop.net.NetworkTopology,remove,388
org.apache.hadoop.net.NetworkTopology,contains,425
org.apache.hadoop.net.NetworkTopology,getDistance,502
org.apache.hadoop.net.NetworkTopology,isOnSameRack,531
org.apache.hadoop.net.NetworkTopology,countNumOfAvailableNodes,620
org.apache.hadoop.net.NodeBase,set,87
org.apache.hadoop.net.NodeBase,normalize,133
org.apache.hadoop.net.TableMapping$RawTableMapping,load,125
org.apache.hadoop.net.DNS,reverseDns,90
org.apache.hadoop.net.DNS,getIPs,178
org.apache.hadoop.net.SocketOutputStream,write,118
org.apache.hadoop.net.SocketOutputStream,write,127
org.apache.hadoop.net.SocketOutputStream,transferToFully,228
org.apache.hadoop.net.SocketOutputStream,transferToFully,235
org.apache.hadoop.net.SocksSocketFactory,setProxy,151
org.apache.hadoop.net.SocketInputStream,read,122
org.apache.hadoop.net.SocketIOWithTimeout$SelectorPool,select,352
org.apache.hadoop.net.SocketIOWithTimeout$SelectorPool,select,374
org.apache.hadoop.net.NetUtils,createSocketAddr,185
org.apache.hadoop.net.NetUtils,createSocketAddr,208
org.apache.hadoop.net.NetUtils,addStaticResolution,310
org.apache.hadoop.net.NetUtils,getStaticResolution,322
org.apache.hadoop.net.NetUtils,getAllStaticResolutions,343
org.apache.hadoop.net.NetUtils,connect,507
org.apache.hadoop.net.NetUtils,connect,542
org.apache.hadoop.net.NetUtils,verifyHostnames,589
org.apache.hadoop.net.NetUtils,verifyHostnames,604
org.apache.hadoop.conf.ReconfigurationServlet,applyChanges,157
org.apache.hadoop.conf.Configuration,addDeprecation,321
org.apache.hadoop.conf.Configuration,<init>,523
org.apache.hadoop.conf.Configuration,<init>,535
org.apache.hadoop.conf.Configuration,<init>,535
org.apache.hadoop.conf.Configuration,substituteVars,693
org.apache.hadoop.conf.Configuration,getClassByName,1486
org.apache.hadoop.conf.Configuration,getClassByNameOrNull,1523
org.apache.hadoop.conf.Configuration,getClass,1606
org.apache.hadoop.conf.Configuration,getInstances,1634
org.apache.hadoop.conf.Configuration,setClass,1654
org.apache.hadoop.conf.Configuration,getLocalPath,1687
org.apache.hadoop.conf.Configuration,getFile,1712
org.apache.hadoop.conf.Configuration,parse,1853
org.apache.hadoop.conf.Configuration,loadResource,1933
org.apache.hadoop.conf.Configuration,dumpConfiguration,2160
org.apache.hadoop.conf.ReconfigurableBase,reconfigureProperty,75
org.apache.hadoop.conf.ReconfigurableBase,reconfigureProperty,79
org.apache.hadoop.conf.ConfServlet,getConfFromContext,51
org.apache.hadoop.conf.ConfServlet,writeResponse,94
org.apache.hadoop.conf.Configuration$IntegerRanges,<init>,1243
org.apache.hadoop.conf.Configuration$IntegerRanges,<init>,1254
org.apache.hadoop.hdfs.SocketCache,getInstance,93
org.apache.hadoop.hdfs.SocketCache,evictOldest,226
org.apache.hadoop.hdfs.SocketCache,run,250
org.apache.hadoop.hdfs.web.WebHdfsFileSystem$1,close,718
org.apache.hadoop.hdfs.web.JsonUtil,toMD5MD5CRC32FileChecksum,531
org.apache.hadoop.hdfs.web.JsonUtil,toMD5MD5CRC32FileChecksum,538
org.apache.hadoop.hdfs.web.JsonUtil,toMD5MD5CRC32FileChecksum,543
org.apache.hadoop.hdfs.web.resources.IntegerParam,checkRange,34
org.apache.hadoop.hdfs.web.resources.IntegerParam,checkRange,38
org.apache.hadoop.hdfs.web.resources.UserParam,validateLength,38
org.apache.hadoop.hdfs.web.resources.UserParam,validateLength,42
org.apache.hadoop.hdfs.web.resources.HttpOpParam$TemporaryRedirectOp,valueOf,81
org.apache.hadoop.hdfs.web.resources.ShortParam,checkRange,34
org.apache.hadoop.hdfs.web.resources.ShortParam,checkRange,38
org.apache.hadoop.hdfs.web.resources.BooleanParam$Domain,parse,53
org.apache.hadoop.hdfs.web.resources.StringParam$Domain,parse,54
org.apache.hadoop.hdfs.web.resources.InetSocketAddressParam$Domain,parse,55
org.apache.hadoop.hdfs.web.resources.InetSocketAddressParam$Domain,parse,60
org.apache.hadoop.hdfs.web.resources.InetSocketAddressParam$Domain,parse,63
org.apache.hadoop.hdfs.web.resources.InetSocketAddressParam$Domain,parse,66
org.apache.hadoop.hdfs.web.resources.LongParam,checkRange,33
org.apache.hadoop.hdfs.web.resources.LongParam,checkRange,37
org.apache.hadoop.hdfs.web.resources.DestinationParam,validate,36
org.apache.hadoop.hdfs.web.WebHdfsFileSystem,setWorkingDirectory,262
org.apache.hadoop.hdfs.web.WebHdfsFileSystem,jsonParse,279
org.apache.hadoop.hdfs.web.WebHdfsFileSystem,jsonParse,285
org.apache.hadoop.hdfs.web.WebHdfsFileSystem,validateResponse,309
org.apache.hadoop.hdfs.web.WebHdfsFileSystem,validateResponse,315
org.apache.hadoop.hdfs.web.WebHdfsFileSystem,addDt2Query,373
org.apache.hadoop.hdfs.web.WebHdfsFileSystem,getHdfsFileStatus,596
org.apache.hadoop.hdfs.web.WebHdfsFileSystem,setOwner,659
org.apache.hadoop.hdfs.web.WebHdfsFileSystem,setDelegationToken,898
org.apache.hadoop.hdfs.web.WebHdfsFileSystem$Runner,shouldRetry,520
org.apache.hadoop.hdfs.web.WebHdfsFileSystem$Runner,getResponse,580
org.apache.hadoop.hdfs.server.journalservice.journalstatus_jsp,_jspService,80
org.apache.hadoop.hdfs.server.datanode.DatanodeUtil,createTmpFile,53
org.apache.hadoop.hdfs.server.datanode.DatanodeUtil,createTmpFile,64
org.apache.hadoop.hdfs.server.datanode.web.resources.DatanodeWebHdfsMethods,init,100
org.apache.hadoop.hdfs.server.datanode.web.resources.DatanodeWebHdfsMethods,put,227
org.apache.hadoop.hdfs.server.datanode.web.resources.DatanodeWebHdfsMethods,put,234
org.apache.hadoop.hdfs.server.datanode.web.resources.DatanodeWebHdfsMethods,post,319
org.apache.hadoop.hdfs.server.datanode.web.resources.DatanodeWebHdfsMethods,post,323
org.apache.hadoop.hdfs.server.datanode.web.resources.DatanodeWebHdfsMethods,get,428
org.apache.hadoop.hdfs.server.datanode.web.resources.DatanodeWebHdfsMethods,get,433
org.apache.hadoop.hdfs.server.datanode.web.resources.OpenEntity$Writer,writeTo,78
org.apache.hadoop.hdfs.server.datanode.browseDirectory_jsp,_jspService,100
org.apache.hadoop.hdfs.server.datanode.DataNode,setClusterId,328
org.apache.hadoop.hdfs.server.datanode.DataNode,initDataBlockScanner,473
org.apache.hadoop.hdfs.server.datanode.DataNode,trySendErrorReport,609
org.apache.hadoop.hdfs.server.datanode.DataNode,getBPOSForBlock,628
org.apache.hadoop.hdfs.server.datanode.DataNode,startDataNode,662
org.apache.hadoop.hdfs.server.datanode.DataNode,bpRegistrationSucceeded,733
org.apache.hadoop.hdfs.server.datanode.DataNode,registerBlockPoolWithSecretManager,754
org.apache.hadoop.hdfs.server.datanode.DataNode,initBlockPool,810
org.apache.hadoop.hdfs.server.datanode.DataNode,initStorage,846
org.apache.hadoop.hdfs.server.datanode.DataNode,initStorage,846
org.apache.hadoop.hdfs.server.datanode.DataNode,getDNRegistrationForBP,920
org.apache.hadoop.hdfs.server.datanode.DataNode,checkKerberosAuthMethod,1004
org.apache.hadoop.hdfs.server.datanode.DataNode,checkBlockLocalPathAccess,1013
org.apache.hadoop.hdfs.server.datanode.DataNode,getHdfsBlocksMetadata,1049
org.apache.hadoop.hdfs.server.datanode.DataNode,getHdfsBlocksMetadata,1053
org.apache.hadoop.hdfs.server.datanode.DataNode,checkDiskError,1178
org.apache.hadoop.hdfs.server.datanode.DataNode,makeInstance,1641
org.apache.hadoop.hdfs.server.datanode.DataNode,getDataDirsFromURIs,1668
org.apache.hadoop.hdfs.server.datanode.DataNode,recoverBlock,1902
org.apache.hadoop.hdfs.server.datanode.DataNode,getActiveNamenodeForBP,1919
org.apache.hadoop.hdfs.server.datanode.DataNode,getActiveNamenodeForBP,1924
org.apache.hadoop.hdfs.server.datanode.DataNode,syncBlock,1957
org.apache.hadoop.hdfs.server.datanode.DataNode,syncBlock,1963
org.apache.hadoop.hdfs.server.datanode.DataNode,syncBlock,1976
org.apache.hadoop.hdfs.server.datanode.DataNode,syncBlock,2000
org.apache.hadoop.hdfs.server.datanode.DataNode,syncBlock,2025
org.apache.hadoop.hdfs.server.datanode.DataNode,checkWriteAccess,2061
org.apache.hadoop.hdfs.server.datanode.DataNode,transferReplicaForPipelineRecovery,2095
org.apache.hadoop.hdfs.server.datanode.DataNode,transferReplicaForPipelineRecovery,2099
org.apache.hadoop.hdfs.server.datanode.DataNode,transferReplicaForPipelineRecovery,2110
org.apache.hadoop.hdfs.server.datanode.DataNode,transferReplicaForPipelineRecovery,2095
org.apache.hadoop.hdfs.server.datanode.DataNode,deleteBlockPool,2212
org.apache.hadoop.hdfs.server.datanode.BPOfferService,refreshNNList,123
org.apache.hadoop.hdfs.server.datanode.BPOfferService,checkNSEquality,324
org.apache.hadoop.hdfs.server.datanode.BPOfferService,updateActorStatesFromHeartbeat,447
org.apache.hadoop.hdfs.server.datanode.BPOfferService,processCommandFromActor,502
org.apache.hadoop.hdfs.server.datanode.BPOfferService,processCommandFromActive,550
org.apache.hadoop.hdfs.server.datanode.BPOfferService,processCommandFromActive,559
org.apache.hadoop.hdfs.server.datanode.DataStorage,recoverTransitionRead,139
org.apache.hadoop.hdfs.server.datanode.DataStorage,recoverTransitionRead,183
org.apache.hadoop.hdfs.server.datanode.DataStorage,recoverTransitionRead,192
org.apache.hadoop.hdfs.server.datanode.DataStorage,setFieldsFromProperties,315
org.apache.hadoop.hdfs.server.datanode.DataStorage,setFieldsFromProperties,320
org.apache.hadoop.hdfs.server.datanode.DataStorage,isPreUpgradableLayout,346
org.apache.hadoop.hdfs.server.datanode.DataStorage,doTransition,374
org.apache.hadoop.hdfs.server.datanode.DataStorage,doTransition,385
org.apache.hadoop.hdfs.server.datanode.DataStorage,doTransition,393
org.apache.hadoop.hdfs.server.datanode.DataStorage,doTransition,414
org.apache.hadoop.hdfs.server.datanode.DataStorage,doUpgrade,457
org.apache.hadoop.hdfs.server.datanode.DataStorage,doUpgrade,466
org.apache.hadoop.hdfs.server.datanode.DataStorage,cleanupDetachDir,504
org.apache.hadoop.hdfs.server.datanode.DataStorage,cleanupDetachDir,509
org.apache.hadoop.hdfs.server.datanode.DataStorage,doRollback,546
org.apache.hadoop.hdfs.server.datanode.DataStorage,doRollback,551
org.apache.hadoop.hdfs.server.datanode.DataStorage,doRollback,554
org.apache.hadoop.hdfs.server.datanode.DataStorage,doFinalize,582
org.apache.hadoop.hdfs.server.datanode.DataStorage,linkBlocks,685
org.apache.hadoop.hdfs.server.datanode.DataStorage,linkBlocks,688
org.apache.hadoop.hdfs.server.datanode.DataStorage,linkBlocks,699
org.apache.hadoop.hdfs.server.datanode.ReplicaInPipeline,createStreams,199
org.apache.hadoop.hdfs.server.datanode.ReplicaInPipeline,createStreams,212
org.apache.hadoop.hdfs.server.datanode.ReplicaInPipeline,createStreams,220
org.apache.hadoop.hdfs.server.datanode.DataNode$DataTransfer,run,1477
org.apache.hadoop.hdfs.server.datanode.DataNode$DataTransfer,run,1480
org.apache.hadoop.hdfs.server.datanode.DataNode$DataTransfer,run,1496
org.apache.hadoop.hdfs.server.datanode.DataBlockScanner,getNextBPScanner,170
org.apache.hadoop.hdfs.server.datanode.DataBlockScanner,shutdown,256
org.apache.hadoop.hdfs.server.datanode.DataBlockScanner,getBlocksScannedInLastRun,278
org.apache.hadoop.hdfs.server.datanode.DataBlockScanner,getTotalScans,288
org.apache.hadoop.hdfs.server.datanode.browseBlock_jsp,_jspService,91
org.apache.hadoop.hdfs.server.datanode.ReplicaInfo,unlinkFile,169
org.apache.hadoop.hdfs.server.datanode.ReplicaInfo,unlinkFile,172
org.apache.hadoop.hdfs.server.datanode.ReplicaInfo,unlinkFile,176
org.apache.hadoop.hdfs.server.datanode.ReplicaInfo,unlinkFile,185
org.apache.hadoop.hdfs.server.datanode.ReplicaInfo,unlinkBlock,203
org.apache.hadoop.hdfs.server.datanode.ReplicaInfo,setNewerGenerationStamp,226
org.apache.hadoop.hdfs.server.datanode.DataXceiverServer,run,143
org.apache.hadoop.hdfs.server.datanode.DataXceiverServer,kill,188
org.apache.hadoop.hdfs.server.datanode.DataXceiverServer,kill,188
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,recoverTransitionRead,96
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,recoverTransitionRead,137
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,recoverTransitionRead,146
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,recoverTransitionRead,148
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,setBlockPoolID,203
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,setBlockPoolID,208
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,doTransition,246
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,doTransition,252
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,doTransition,257
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,doTransition,274
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,doUpgrade,315
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,doUpgrade,323
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,doUpgrade,331
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,cleanupDetachDir,356
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,cleanupDetachDir,361
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,doRollback,398
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,doRollback,405
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,doRollback,408
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceStorage,doFinalize,435
org.apache.hadoop.hdfs.server.datanode.DirectoryScanner,scan,356
org.apache.hadoop.hdfs.server.datanode.BlockReceiver$PacketResponder,run,918
org.apache.hadoop.hdfs.server.datanode.BlockReceiver$PacketResponder,run,954
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetAsyncDiskService$1,newThread,91
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.ReplicaMap,<init>,41
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.ReplicaMap,getBlockPoolList,50
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.ReplicaMap,checkBlockPool,55
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.ReplicaMap,checkBlock,61
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.ReplicaMap,get,96
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.ReplicaMap,add,118
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.ReplicaMap,remove,139
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.ReplicaMap,remove,158
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.ReplicaMap,size,174
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.ReplicaMap,initBlockPool,202
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.ReplicaMap,cleanUpBlockPool,210
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsVolumeImpl,decDfsUsed,78
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsVolumeImpl,getDfsUsed,86
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsVolumeImpl,getBlockPoolSlice,122
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsVolumeImpl,deleteBPDirectories,260
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsVolumeImpl,deleteBPDirectories,263
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsVolumeImpl,deleteBPDirectories,268
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsVolumeImpl,deleteBPDirectories,272
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsVolumeImpl,deleteBPDirectories,276
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsVolumeImpl,deleteBPDirectories,280
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetAsyncDiskService,execute,120
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetAsyncDiskService,execute,124
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.LDir,<init>,51
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.LDir,recoverTempUnlinkedBlock,145
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.LDir,recoverTempUnlinkedBlock,149
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.RollingLogsImpl,roll,110
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.RollingLogsImpl,roll,119
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.RollingLogsImpl,roll,107
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.RollingLogsImpl$1,append,54
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.RollingLogsImpl$1,append,54
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.RollingLogsImpl$1,close,79
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.BlockPoolSlice,<init>,100
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.BlockPoolSlice,<init>,105
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.BlockPoolSlice,validateIntegrity,271
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,<init>,182
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,<init>,187
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,getDfsUsed,226
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,getBlockPoolUsed,236
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,getCapacity,254
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,getRemaining,264
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,getBlockFile,299
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,getBlockFileNoExistsCheck,317
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,getBlockFileNoExistsCheck,317
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,getReplicaInfo,352
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,getReplicaInfo,371
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,truncateBlock,432
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,truncateBlock,455
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,truncateBlock,469
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,append,484
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,append,490
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,append,495
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,append,525
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,append,561
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,recoverCheck,579
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,recoverCheck,589
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,recoverCheck,605
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,recoverCheck,612
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,createRbw,687
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,recoverRbw,710
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,recoverRbw,727
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,recoverRbw,735
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,convertTemporaryToRbw,759
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,convertTemporaryToRbw,764
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,convertTemporaryToRbw,771
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,convertTemporaryToRbw,783
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,convertTemporaryToRbw,789
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,createTemporary,812
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,finalizeBlock,859
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,finalizeReplica,882
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,getBlockReport,966
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,getBlockReport,970
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,validateBlockFile,1025
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,checkReplicaFiles,1042
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,checkReplicaFiles,1046
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,checkReplicaFiles,1052
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,checkReplicaFiles,1055
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,invalidate,1067
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,invalidate,1121
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,checkDataDir,1157
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,checkDataDir,1189
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,checkAndUpdate,1402
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,initReplicaRecovery,1445
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,initReplicaRecovery,1455
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,initReplicaRecovery,1462
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,initReplicaRecovery,1472
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,updateReplicaUnderRecovery,1506
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,updateReplicaUnderRecovery,1511
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,updateReplicaUnderRecovery,1517
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,updateReplicaUnderRecovery,1528
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,updateReplicaUnderRecovery,1549
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,updateReplicaUnderRecovery,1559
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,getReplicaVisibleLength,1579
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetImpl,deleteBlockPool,1664
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.RollingLogsImpl$Reader,readNext,194
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.RollingLogsImpl$Reader,close,230
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.RollingLogsImpl$Reader,close,230
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.RollingLogsImpl$Reader,close,231
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetUtil,getOrigFile,40
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetUtil,findMetaFile,65
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetUtil,findMetaFile,69
org.apache.hadoop.hdfs.server.datanode.fsdataset.RoundRobinVolumeChoosingPolicy,chooseVolume,37
org.apache.hadoop.hdfs.server.datanode.fsdataset.RoundRobinVolumeChoosingPolicy,chooseVolume,60
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceScanner,verifyBlock,445
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceScanner,verifyFirstBlock,474
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceScanner,assignInitialVerificationTimes,531
org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceScanner,assignInitialVerificationTimes,504
